Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
291,karger_recursive,50,0,12600
291,karger_improved,50,0,56
291,karger,50,0,28
292,karger_recursive,0,-1,0
292,karger_improved,0,0,0
292,karger,0,0,0
293,karger_recursive,333,18,12600
293,karger_improved,333,58,56
293,karger,333,82,28
294,karger_recursive,29,0,600
294,karger_improved,29,7,18
294,karger,29,12,9
295,karger_recursive,167,0,3800
295,karger_improved,167,17,36
295,karger,167,17,18
296,karger_recursive,187,8,10192
296,karger_improved,187,49,52
296,karger,187,80,26
297,karger_recursive,111,0,3240
297,karger_improved,111,20,34
297,karger,111,52,17
298,karger_recursive,162,0,3800
298,karger_improved,162,82,36
298,karger,162,71,18
299,karger_recursive,2,0,8
299,karger_improved,2,1,2
299,karger,2,1,1
300,karger_recursive,4,0,200
300,karger_improved,4,0,8
300,karger,4,0,4
301,karger_recursive,259,0,6624
301,karger_improved,259,88,44
301,karger,259,20,22
302,karger_recursive,124,0,3240
302,karger_improved,124,14,34
302,karger,124,60,17
303,karger_recursive,133,0,3240
303,karger_improved,133,47,34
303,karger,133,52,17
304,karger_recursive,6,0,250
304,karger_improved,6,0,10
304,karger,6,0,5
305,karger_recursive,123,0,3800
305,karger_improved,123,16,36
305,karger,123,11,18
306,karger_recursive,132,5,10192
306,karger_improved,132,12,52
306,karger,132,15,26
307,karger_recursive,10,0,1800
307,karger_improved,10,0,18
307,karger,10,0,9
308,karger_recursive,4,0,54
308,karger_improved,4,0,6
308,karger,4,0,3
309,karger_recursive,35,0,1920
309,karger_improved,35,12,28
309,karger,35,4,14
310,karger_recursive,1,1,0
310,karger_improved,1,1,0
310,karger,1,1,0
311,karger_recursive,28,7,192
311,karger_improved,28,12,12
311,karger,28,12,6
312,karger_recursive,278,12,10192
312,karger_improved,278,52,52
312,karger,278,19,26
313,karger_recursive,32,0,4598
313,karger_improved,32,0,38
313,karger,32,0,19
314,karger_recursive,3,0,54
314,karger_improved,3,0,6
314,karger,3,0,3
315,karger_recursive,261,16,9100
315,karger_improved,261,68,50
315,karger,261,17,25
316,karger_recursive,62,0,4400
316,karger_improved,62,8,38
316,karger,62,18,19
317,karger_recursive,0,-1,0
317,karger_improved,0,0,0
317,karger,0,0,0
318,karger_recursive,35,0,6864
318,karger_improved,35,0,44
318,karger,35,0,22
319,karger_recursive,7,0,1008
319,karger_improved,7,0,14
319,karger,7,0,7
320,karger_recursive,51,0,600
320,karger_improved,51,18,18
320,karger,51,15,9
321,karger_recursive,56,0,1568
321,karger_improved,56,4,26
